m/z_RT_node,CNAT12_TV104__WC,CNAT1_TV105__WC,CNAT9_TV106__WC,MCAV1_TV107__WC,MCAV2_TV108__WC,MCAV3_TV109__WC,MCAV6_TV110__WC,MMEA14_TV103__WC,MMEA202_TV100_WC,MMEA24_TV99__WC,MMEA2_TV102__WC,OFAV12_TV113__WC,OFAV2_TV111__WC,OFAV3_TV112__WC,OFAV7_TV114__WC
,CNAT,CNAT,CNAT,MCAV,MCAV,MCAV,MCAV,MMEA,MMEA,MMEA,MMEA,OFAV,OFAV,OFAV,OFAV
158.089_5.8_4332,0,0,0,0,0,0,0,108150.6385,295230.0525,294629.2775,378942.461,0,0,0,0
746.605_23.7_648,403533.7045,0,2128268.335,0,8328.632,100078.5125,0,0,0,0,0,0,0,0,0
536.718_6.3_5552,0,843881.3105,259452.381,0,0,0,0,0,0,0,0,0,0,0,0
613.352_17.7_2397,0,153224.243,0,0,0,0,9781.053,0,0,0,0,1291051.159,114284.5515,0,0
220.111_2.9_2376,88752.3555,80711.7195,117041.661,0,135475.884,0,0,223018.862,0,0,0,9018.702,0,9015.071,12445.44
496.365_13.5_5566,0,541315.8395,256039.7385,0,0,0,0,0,0,0,0,0,44388.3295,0,0
553.331_16.2_2499,0,6181027.683,1872750.814,832854.647,16893.737,0,2471879.954,2509677.966,1544623.583,3148469.585,7689845.289,4093269.874,2619229.153,465892.574,83804.795
368.388_20.8_2475,0,0,0,0,221720.4525,0,0,0,0,0,0,0,0,0,0
839.498_5.9_4415,0,0,0,0,0,0,0,181158.6935,10118.165,40581.0145,82325.712,0,0,0,0
765.533_15.5_4363,0,309513.2635,0,0,0,0,0,146496.5465,202469.4145,11154.803,137016.9835,0,0,170935.2975,0
548.263_9.9_5462,0,0,80432.887,0,0,0,0,0,21282.518,0,0,0,0,34967.7135,387299.343
738.491_16.8_2925,0,94058.384,0,0,0,0,0,0,0,0,0,131451.5525,221565.794,0,0
335.221_8.8_3920,0,0,0,267624.5235,2324645.198,444035.996,0,27523.3585,0,58224.1435,0,10693.27,0,337195.991,393882.584
904.591_18.1_6309,0,196341.0035,0,0,0,0,0,407024.1365,357501.185,288425.574,8399.5145,0,0,0,0
669.996_7.5_5569,0,1179139.216,1024136.177,0,0,0,0,0,0,0,0,0,0,0,0
624.423_14.8_661,144813.6485,80861.533,1303894.56,65146.964,0,930808.7135,0,298105.0945,500594.6075,560014.1365,0,0,52324.959,835698.5885,1873301.41
549.25_15.7_749,76213.452,0,424953.9275,0,0,0,0,37737.307,76628.9355,100035.742,0,67331.3545,45724.659,154268.652,27626.9375
413.341_17.4_666,166370.9705,2586761.397,1770828.849,5853313.866,531687.6585,4366510.916,6144603.776,1649642.111,2425768.875,2807200.982,1191375.894,2054502.716,2408416.788,3616828.624,7749856.912
547.334_16.8_5096,0,0,326308.795,0,0,0,0,0,0,0,0,154795.6375,0,0,484799.861
656.546_20.9_3906,0,0,1069978.043,34235.2605,302658.1905,207563.3295,8617.9405,0,0,573724.2725,0,2045256.129,0,1.50E+07,1.02E+07
604.457_11.8_3705,0,0,7901.8125,0,0,401047.6875,116709.32,134075.4615,8807.649,34186.92,18729.927,37248.759,0,81699.2155,102056.8855
488.275_12.2_3803,0,0,0,0,244978.006,21990.8505,24057.108,613454.205,499720.452,318178.9865,585978.9755,0,0,0,0
558.355_14.5_1121,0,83200.306,11196.159,4459109.666,587918.8335,121905.3275,3268120.691,0,0,0,0,289652.849,52938.127,10735.926,0
300.142_12.2_697,307479.3535,474956.1375,174535.6335,0,0,0,297886.474,38247.0765,503640.1685,142910.0195,135332.106,95678.55,155358.428,30649.342,0
796.62_22.9_3841,1055396.942,0,1.62E+07,0,1.87E+07,153586.4105,0,4349841.002,0,325676.2745,91431.835,216041.2955,236451.6075,506280.6635,301236.301
371.281_15.5_2630,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
524.406_15_3043,0,351840.6075,575424.971,1.03E+07,178689.919,4481173.723,4134130.632,4702606.881,309312.4925,2344667.147,1664609.722,2034603.017,93574.0535,3616585.051,235136.5505
